category,line,path,methods,function,decorator
system,404,/favicon.ico,GET,favicon,"@app.route(""/favicon.ico"")"
system,5271,/,GET,index,"@app.route(""/"")"
system,5289,/health,GET,health,"@app.route(""/health"", methods=[""GET""])"
lookup,5292,/get_campaigns,POST,get_campaigns,"@app.route(""/get_campaigns"", methods=[""POST""])"
lookup,5309,/get_adgroups,POST,get_adgroups,"@app.route(""/get_adgroups"", methods=[""POST""])"
lookup,5329,/get_biz_channels,POST,get_biz_channels,"@app.route(""/get_biz_channels"", methods=[""POST""])"
lookup,5347,/get_keywords,POST,get_keywords,"@app.route(""/get_keywords"", methods=[""POST""])"
lookup,5386,/get_ads,POST,get_ads,"@app.route(""/get_ads"", methods=[""POST""])"
lookup,5393,/get_ad_extensions,POST,get_ad_extensions,"@app.route(""/get_ad_extensions"", methods=[""POST""])"
lookup,5400,/query_account_ads,POST,query_account_ads,"@app.route(""/query_account_ads"", methods=[""POST""])"
lookup,5424,/query_account_extensions,POST,query_account_extensions,"@app.route(""/query_account_extensions"", methods=[""POST""])"
lookup,5450,/query_account_keywords,POST,query_account_keywords,"@app.route(""/query_account_keywords"", methods=[""POST""])"
export,5475,/export_account_keywords_excel,POST,export_account_keywords_excel,"@app.route(""/export_account_keywords_excel"", methods=[""POST""])"
export,5504,/export_account_ads_excel,POST,export_account_ads_excel,"@app.route(""/export_account_ads_excel"", methods=[""POST""])"
export,5532,/export_account_extensions_excel,POST,export_account_extensions_excel,"@app.route(""/export_account_extensions_excel"", methods=[""POST""])"
lookup,5563,/get_restricted_keywords,POST,get_restricted_keywords,"@app.route(""/get_restricted_keywords"", methods=[""POST""])"
lookup,5570,/find_powerlink_duplicate_keywords,POST,find_powerlink_duplicate_keywords,"@app.route(""/find_powerlink_duplicate_keywords"", methods=[""POST""])"
lookup,5598,/find_account_powerlink_duplicate_keywords,POST,find_account_powerlink_duplicate_keywords,"@app.route(""/find_account_powerlink_duplicate_keywords"", methods=[""POST""])"
export,5611,/export_powerlink_duplicate_keywords_excel,POST,export_powerlink_duplicate_keywords_excel,"@app.route(""/export_powerlink_duplicate_keywords_excel"", methods=[""POST""])"
lookup,5648,/get_powerlink_keyword_stats,POST,get_powerlink_keyword_stats,"@app.route(""/get_powerlink_keyword_stats"", methods=[""POST""])"
lookup,5662,/search_powerlink_keywords,POST,search_powerlink_keywords,"@app.route(""/search_powerlink_keywords"", methods=[""POST""])"
export,5735,/export_powerlink_keywords_excel,POST,export_powerlink_keywords_excel,"@app.route(""/export_powerlink_keywords_excel"", methods=[""POST""])"
logs,5786,/get_action_logs,GET,get_action_logs,"@app.route(""/get_action_logs"", methods=[""GET""])"
logs,5798,/export_action_logs_excel,GET,export_action_logs_excel,"@app.route(""/export_action_logs_excel"", methods=[""GET""])"
logs,5870,/clear_action_logs,POST,clear_action_logs,"@app.route(""/clear_action_logs"", methods=[""POST""])"
create,5880,/create_campaign,POST,create_campaign,"@app.route(""/create_campaign"", methods=[""POST""])"
create,5897,/create_adgroup_simple,POST,create_adgroup_simple,"@app.route(""/create_adgroup_simple"", methods=[""POST""])"
create,6051,/create_keywords_simple,POST,create_keywords_simple,"@app.route(""/create_keywords_simple"", methods=[""POST""])"
create,6251,/bulk_upload_text_ads,POST,bulk_upload_text_ads,"@app.route(""/bulk_upload_text_ads"", methods=[""POST""])"
create,6326,/create_text_ad_simple,POST,create_text_ad_simple,"@app.route(""/create_text_ad_simple"", methods=[""POST""])"
create,6379,/create_ad_advanced,POST,create_ad_advanced,"@app.route(""/create_ad_advanced"", methods=[""POST""])"
create,6400,/create_extension_simple,POST,create_extension_simple,"@app.route(""/create_extension_simple"", methods=[""POST""])"
create,6573,/bulk_upload_headlines,POST,bulk_upload_headlines,"@app.route(""/bulk_upload_headlines"", methods=[""POST""])"
create,6665,/create_shopping_ad_simple,POST,create_shopping_ad_simple,"@app.route(""/create_shopping_ad_simple"", methods=[""POST""])"
create,6699,/create_extension_raw,POST,create_extension_raw,"@app.route(""/create_extension_raw"", methods=[""POST""])"
create,6718,/create_restricted_keywords_simple,POST,create_restricted_keywords_simple,"@app.route(""/create_restricted_keywords_simple"", methods=[""POST""])"
copy,6773,/copy_entities_to_adgroups,POST,copy_entities_to_adgroups,"@app.route(""/copy_entities_to_adgroups"", methods=[""POST""])"
copy,6818,/copy_campaigns,POST,copy_campaigns,"@app.route(""/copy_campaigns"", methods=[""POST""])"
copy,6932,/copy_adgroups_to_target,POST,copy_adgroups_to_target,"@app.route(""/copy_adgroups_to_target"", methods=[""POST""])"
copy,7032,/rename_adgroups_bulk,POST,rename_adgroups_bulk,"@app.route(""/rename_adgroups_bulk"", methods=[""POST""])"
update,7090,/update_media,POST,update_media,"@app.route(""/update_media"", methods=[""POST""])"
update,7226,/update_adgroup_search_options,"GET, POST, OPTIONS",update_adgroup_options,"@app.route(""/update_adgroup_search_options"", methods=[""GET"", ""POST"", ""OPTIONS""])"
update,7227,/update_adgroup_search_options/,"GET, POST, OPTIONS",update_adgroup_options,"@app.route(""/update_adgroup_search_options/"", methods=[""GET"", ""POST"", ""OPTIONS""])"
update,7228,/update_adgroup_options,"GET, POST, OPTIONS",update_adgroup_options,"@app.route(""/update_adgroup_options"", methods=[""GET"", ""POST"", ""OPTIONS""])"
update,7229,/update_adgroup_options/,"GET, POST, OPTIONS",update_adgroup_options,"@app.route(""/update_adgroup_options/"", methods=[""GET"", ""POST"", ""OPTIONS""])"
update,7238,/update_powerlink_device_bid_weights,POST,update_powerlink_device_bid_weights,"@app.route(""/update_powerlink_device_bid_weights"", methods=[""POST""])"
update,7320,/apply_target_settings_bulk,POST,apply_target_settings_bulk,"@app.route(""/apply_target_settings_bulk"", methods=[""POST""])"
update,7465,/update_budget,POST,update_budget,"@app.route(""/update_budget"", methods=[""POST""])"
update,7733,/update_schedule,POST,update_schedule,"@app.route(""/update_schedule"", methods=[""POST""])"
update,7817,/update_schedule_campaign_bulk,POST,update_schedule_campaign_bulk,"@app.route(""/update_schedule_campaign_bulk"", methods=[""POST""])"
update,8473,/update_non_search_keyword_exclusion,POST,update_non_search_keyword_exclusion,"@app.route(""/update_non_search_keyword_exclusion"", methods=[""POST""])"
lookup,8518,/preview_keyword_bids_by_search,POST,preview_keyword_bids_by_search,"@app.route(""/preview_keyword_bids_by_search"", methods=[""POST""])"
update,8576,/update_keyword_bids_by_search,POST,update_keyword_bids_by_search,"@app.route(""/update_keyword_bids_by_search"", methods=[""POST""])"
lookup,8718,/preview_keyword_bid_weights_by_search,POST,preview_keyword_bid_weights_by_search,"@app.route(""/preview_keyword_bid_weights_by_search"", methods=[""POST""])"
update,8771,/update_keyword_bid_weights_by_search,POST,update_keyword_bid_weights_by_search,"@app.route(""/update_keyword_bid_weights_by_search"", methods=[""POST""])"
update,8885,/update_keyword_bids,POST,update_keyword_bids,"@app.route(""/update_keyword_bids"", methods=[""POST""])"
update,9059,/update_bid_mode_by_scope,POST,update_bid_mode_by_scope,"@app.route(""/update_bid_mode_by_scope"", methods=[""POST""])"
update,9240,/adjust_keyword_bids_by_threshold,POST,adjust_keyword_bids_by_threshold,"@app.route(""/adjust_keyword_bids_by_threshold"", methods=[""POST""])"
lookup,9665,/preview_keyword_avg_position_by_search,POST,preview_keyword_avg_position_by_search,"@app.route(""/preview_keyword_avg_position_by_search"", methods=[""POST""])"
lookup,9666,/preview_keyword_avg_position_search,POST,preview_keyword_avg_position_by_search,"@app.route(""/preview_keyword_avg_position_search"", methods=[""POST""])"
lookup,9667,/preview_powerlink_keyword_avg_position_by_search,POST,preview_keyword_avg_position_by_search,"@app.route(""/preview_powerlink_keyword_avg_position_by_search"", methods=[""POST""])"
lookup,9668,/preview_powerlink_keyword_avg_position_search,POST,preview_keyword_avg_position_by_search,"@app.route(""/preview_powerlink_keyword_avg_position_search"", methods=[""POST""])"
update,9673,/update_keyword_avg_position_by_search,POST,update_keyword_avg_position_by_search,"@app.route(""/update_keyword_avg_position_by_search"", methods=[""POST""])"
update,9674,/update_keyword_avg_position_search,POST,update_keyword_avg_position_by_search,"@app.route(""/update_keyword_avg_position_search"", methods=[""POST""])"
update,9675,/update_powerlink_keyword_avg_position_by_search,POST,update_keyword_avg_position_by_search,"@app.route(""/update_powerlink_keyword_avg_position_by_search"", methods=[""POST""])"
update,9676,/update_powerlink_keyword_avg_position_search,POST,update_keyword_avg_position_by_search,"@app.route(""/update_powerlink_keyword_avg_position_search"", methods=[""POST""])"
update,9681,/update_keyword_bids_avg_position,POST,update_keyword_bids_avg_position,"@app.route(""/update_keyword_bids_avg_position"", methods=[""POST""])"
delete,10270,/bulk_delete_by_parent,POST,bulk_delete_by_parent,"@app.route(""/bulk_delete_by_parent"", methods=[""POST""])"
create,10427,/bulk_register,POST,bulk_register,"@app.route(""/bulk_register"", methods=[""POST""])"
delete,10453,/bulk_delete,POST,bulk_delete,"@app.route(""/bulk_delete"", methods=[""POST""])"
update,10482,/set_searched_powerlink_keyword_state,POST,set_searched_powerlink_keyword_state,"@app.route(""/set_searched_powerlink_keyword_state"", methods=[""POST""])"
update,10525,/set_campaign_state,POST,set_campaign_state,"@app.route(""/set_campaign_state"", methods=[""POST""])"
delete,10570,/delete_selected,POST,delete_selected,"@app.route(""/delete_selected"", methods=[""POST""])"
system,10584,/sample_headers,GET,sample_headers,"@app.route(""/sample_headers"", methods=[""GET""])"
system,10602,/delete_sample_headers,GET,delete_sample_headers,"@app.route(""/delete_sample_headers"", methods=[""GET""])"
